NPI|NDC|Units|UnitCost
0000000003|00000001636|1220|124.36
0000000010|00000004278|2716|308.59
0000000007|00000003775|2707|363.49
0000000006|00000001888|1919|244.89
0000000009|00000001448|2646|208.41
0000000007|00000002392|1162|261.00
0000000001|00000003927|1566|294.31
0000000005|00000002713|2489|57.55
0000000001|00000002669|2909|83.17
0000000003|00000004498|793|246.65
0000000006|00000004484|1826|434.96
0000000007|00000000499|1366|471.10
0000000008|00000002523|1446|314.09
0000000007|00000003156|705|468.74
0000000001|00000004053|1011|357.06
0000000003|00000001541|438|189.24
0000000003|00000003865|2981|369.38
0000000009|00000003450|2436|494.77
0000000005|00000003832|2351|293.50
0000000009|00000003314|184|472.79
0000000006|00000000589|1258|323.98
0000000007|00000003625|2339|20.61
0000000006|00000000222|2358|218.41
0000000003|00000003201|1340|457.67
0000000008|00000003195|684|148.53
0000000004|00000002943|1135|251.33
0000000002|00000004929|2959|416.77
0000000002|00000003141|1305|140.42
0000000009|00000002046|1885|403.27
0000000001|00000004201|2676|340.78
0000000005|00000004799|3|215.36
0000000005|00000003116|1448|412.81
0000000004|00000001335|1869|283.70
0000000005|00000004320|2898|185.12
0000000006|00000004854|1175|278.51
0000000007|00000000375|242|296.93
0000000003|00000003019|2197|42.50
0000000006|00000002779|1988|497.25
0000000008|00000000714|1437|80.64
0000000010|00000001256|2218|451.90
0000000009|00000003532|358|227.90
0000000010|00000002909|633|377.66
0000000003|00000004362|1084|382.76
0000000006|00000003863|2184|15.19
0000000001|00000003539|2538|26.65
0000000004|00000004630|2793|278.79
0000000005|00000002903|563|442.32
0000000001|00000002244|812|139.19
0000000001|00000001363|1711|414.98
0000000003|00000003601|2767|76.98
0000000004|00000002392|1314|118.29
0000000010|00000004372|559|141.15
0000000001|00000000559|1016|439.89
0000000007|00000000548|663|333.01
0000000001|00000004918|1946|413.41
0000000006|00000001687|1929|278.99
0000000006|00000004614|1466|429.27
0000000006|00000003578|416|325.32
0000000010|00000002279|1920|224.61
0000000007|00000000696|1587|149.91
0000000005|00000002758|2990|334.88
0000000008|00000004724|1867|301.17
0000000003|00000002502|1122|488.44
0000000005|00000000293|1849|65.89
0000000002|00000004441|2669|144.54
0000000008|00000001557|2407|213.13
0000000004|00000001339|1341|353.75
0000000001|00000002033|2771|104.95
0000000005|00000001799|2739|295.37
0000000008|00000003140|114|314.97
0000000010|00000002064|782|330.93
0000000007|00000002083|510|15.35
0000000008|00000000735|2777|328.91
0000000001|00000003548|2401|441.14
0000000007|00000004369|2740|428.90
0000000002|00000002792|2766|380.18
0000000010|00000003330|46|368.37
0000000008|00000002056|356|279.79
0000000005|00000003829|1041|354.41
0000000009|00000004882|1345|235.49
0000000009|00000004020|5|294.23
0000000003|00000003564|1647|20.14
0000000005|00000003779|2538|364.87
0000000005|00000004678|1921|443.24
0000000009|00000003790|271|328.38
0000000002|00000002969|2090|10.09
0000000002|00000001381|1531|500.47
0000000001|00000004791|169|16.31
0000000005|00000004344|2523|76.03
0000000010|00000003177|584|416.48
0000000003|00000003296|1689|243.65
0000000010|00000003980|595|404.35
0000000002|00000000881|674|187.26
0000000005|00000004675|2705|192.60
0000000005|00000002522|315|19.18
0000000005|00000002417|411|330.13
0000000002|00000001481|121|474.13
0000000004|00000004631|1667|477.60
0000000010|00000002805|1825|358.96
0000000008|00000001979|503|330.65
0000000003|00000002785|2809|43.58
0000000010|00000000612|1744|450.94
0000000004|00000002395|1594|241.04
0000000009|00000004639|1603|35.79
0000000010|00000003476|2399|82.44
0000000001|00000004169|128|373.02
0000000004|00000004327|598|33.86
0000000001|00000004754|1899|266.43
0000000008|00000002081|2150|326.39
0000000007|00000001309|2213|313.13
0000000009|00000001540|2787|145.53
0000000001|00000002260|401|487.63
0000000002|00000001028|1353|266.77
0000000006|00000003768|164|307.84
0000000007|00000002329|128|257.88
0000000008|00000003751|1665|382.99
0000000010|00000000633|2725|287.85
0000000006|00000000573|2323|489.14
0000000002|00000002677|2172|156.63
0000000008|00000001347|2580|437.38
0000000009|00000001659|2983|401.70
0000000001|00000003583|2967|307.65
0000000005|00000003656|1469|337.97
0000000007|00000001023|1048|300.94
0000000001|00000001622|2931|77.34
0000000003|00000000640|1987|85.80
0000000004|00000003043|2054|82.40
0000000001|00000003332|2493|209.87
0000000010|00000003017|2231|300.45
0000000005|00000003617|2662|35.11
0000000006|00000001056|967|31.94
0000000008|00000002417|1802|284.55
0000000004|00000002994|2278|403.64
0000000001|00000003753|424|369.78
0000000007|00000000068|1611|103.90
0000000010|00000000322|1086|470.69
0000000004|00000000689|2415|157.20
0000000008|00000002086|1403|334.36
0000000001|00000000811|1919|341.08
0000000001|00000003106|2390|236.23
0000000007|00000003184|230|467.64
0000000002|00000003750|1467|349.85
0000000009|00000002365|2847|108.28
0000000007|00000003797|2866|267.55
0000000006|00000001816|2545|263.56
0000000007|00000000944|1349|319.20
0000000004|00000003181|2501|41.56
0000000004|00000002672|2918|107.85
0000000007|00000000131|529|215.29
0000000006|00000003167|1820|287.77
0000000008|00000001399|2080|369.24
0000000010|00000001558|278|494.29
0000000008|00000000397|1728|294.28
0000000008|00000002896|1823|304.05
0000000006|00000002007|2866|400.68
0000000007|00000000509|2360|338.33
0000000002|00000002911|2069|486.45
0000000007|00000003314|950|56.97
0000000005|00000004147|1950|380.02
0000000002|00000004799|1868|391.24
0000000006|00000002960|2284|179.40
0000000009|00000001368|1979|82.47
0000000005|00000000570|1111|183.49
0000000001|00000003931|1312|133.92
0000000005|00000001795|1663|187.47
0000000007|00000000279|428|396.75
0000000009|00000002015|2707|199.81
0000000010|00000004269|2081|463.50
0000000004|00000000506|238|193.27
0000000010|00000000415|1978|226.45
0000000001|00000002643|2343|481.62
0000000004|00000000476|1839|428.19
0000000006|00000003751|1815|152.86
0000000001|00000002573|1099|213.30
0000000002|00000003158|863|131.16
0000000010|00000004992|2684|386.22
0000000007|00000004274|335|258.69
0000000003|00000004845|1432|365.20
0000000005|00000003315|96|38.85
0000000003|00000001700|1070|295.16
0000000003|00000004646|492|360.41
0000000004|00000003813|1263|333.18
0000000003|00000003546|2065|475.71
0000000008|00000004851|1074|273.76
0000000006|00000001235|222|272.99
0000000007|00000003533|1332|207.91
0000000004|00000001182|2692|97.41
0000000006|00000002827|2656|278.77
0000000004|00000001341|786|156.84
0000000002|00000003157|1269|295.49
0000000008|00000000624|2452|129.13
0000000008|00000004776|2574|106.13
0000000010|00000002665|1186|438.34
0000000005|00000002038|1201|108.14
0000000003|00000001498|661|381.84
0000000004|00000002428|1436|206.72
0000000006|00000003053|1229|298.92
0000000002|00000002699|2301|234.68
0000000002|00000000403|492|144.29
0000000002|00000001949|2935|84.65
0000000006|00000001200|215|137.63
0000000004|00000003443|2219|275.41
0000000008|00000001081|2317|113.00
0000000007|00000004738|801|29.32
0000000006|00000002596|206|253.55
0000000006|00000002195|2379|337.54
0000000005|00000004077|2896|396.62
0000000010|00000004277|145|11.69
0000000008|00000001006|350|30.19
0000000006|00000002045|959|351.85
0000000010|00000001248|1627|213.52
0000000009|00000003093|729|169.35
0000000004|00000001288|1381|245.29
0000000004|00000003739|2041|358.20
0000000010|00000000176|2552|76.29
0000000001|00000001466|368|354.19
0000000007|00000004097|1250|190.62
0000000007|00000000749|1108|11.44
0000000003|00000002442|1357|16.67
0000000008|00000003286|1101|316.54
0000000001|00000001497|1501|231.22
0000000005|00000000479|1230|367.37
0000000008|00000004201|2495|417.73
0000000003|00000003659|112|171.24
0000000004|00000002116|2138|103.87
0000000004|00000002852|1361|502.01
0000000003|00000003022|2479|456.48
0000000007|00000000921|930|91.54
0000000002|00000000829|994|400.42
0000000006|00000003228|2067|51.66
0000000007|00000002870|2167|95.11
0000000002|00000004865|1995|225.32
0000000005|00000002676|2722|150.52
0000000010|00000001223|1286|399.21
0000000007|00000002761|897|374.82
0000000006|00000003842|1143|461.66
0000000004|00000003564|415|341.88
0000000001|00000000906|599|54.93
0000000004|00000001947|2589|179.20
0000000009|00000001839|981|434.28
0000000008|00000004322|2468|28.83
0000000001|00000002743|1358|278.17
0000000009|00000002544|1437|21.38
0000000006|00000004797|851|445.59
0000000006|00000001893|1439|159.02
0000000010|00000001079|685|297.00
0000000007|00000003360|2113|237.66
0000000010|00000002317|2598|345.10
0000000005|00000003057|2398|55.98
0000000008|00000001589|1868|243.15
0000000003|00000002060|205|469.06
0000000006|00000004274|2778|334.67
0000000006|00000003745|77|463.06
0000000005|00000004979|501|280.54
0000000004|00000000683|177|54.30
0000000004|00000002396|1795|64.23
0000000005|00000004680|1248|298.40
0000000010|00000000259|2737|325.39
0000000001|00000002344|1477|247.04
0000000004|00000004711|1364|31.68
0000000008|00000004548|1077|210.65
0000000009|00000003634|2439|156.16
0000000007|00000003237|2596|344.24
0000000010|00000003957|366|354.57
0000000007|00000002711|967|432.43
0000000004|00000003533|1965|17.31
0000000003|00000003436|328|331.08
0000000002|00000004808|1617|271.72
0000000006|00000003671|1318|361.12
0000000010|00000004885|2737|317.12
0000000002|00000003070|1981|128.05
0000000005|00000003579|1049|371.44
0000000008|00000002345|99|152.11
0000000007|00000002653|2211|299.98
0000000008|00000001158|1663|255.93
0000000003|00000003756|594|129.77
0000000007|00000000937|115|161.11
0000000008|00000002606|2718|168.21
0000000008|00000001839|351|346.32
0000000008|00000001111|1894|209.98
0000000006|00000004825|1726|170.12
0000000005|00000003304|621|157.70
0000000003|00000000388|2753|43.25
0000000003|00000000239|1360|386.89
0000000001|00000002335|2065|336.80
0000000010|00000003395|1406|362.20
0000000009|00000002289|638|315.90
0000000010|00000001586|1523|226.90
0000000009|00000000506|884|463.00
0000000009|00000002273|2702|57.81
0000000001|00000001237|1665|494.36
0000000008|00000001184|747|289.38
0000000002|00000003376|2211|145.07
0000000006|00000002965|1203|297.49
0000000004|00000004740|2594|341.73
0000000008|00000000145|222|86.22
0000000001|00000004852|2567|186.41
0000000009|00000004223|1681|354.70
0000000007|00000003152|2655|316.47
0000000001|00000003140|2239|281.45
0000000002|00000002801|1255|370.98
0000000007|00000003060|1156|326.45
0000000007|00000001270|194|95.73
0000000008|00000004837|1777|418.30
0000000008|00000002876|1453|354.70
0000000005|00000004274|1389|349.36
0000000007|00000002134|1897|430.86
0000000003|00000003918|2670|315.50
0000000002|00000004817|1007|131.75
0000000007|00000002033|2772|332.75
0000000006|00000003715|783|332.14
0000000004|00000001814|273|415.25
0000000001|00000002199|2019|81.91
0000000007|00000000482|2144|384.68
0000000004|00000002563|1170|203.38
0000000007|00000002109|676|398.09
0000000004|00000000781|2331|99.55
0000000005|00000000616|2322|369.53
0000000002|00000002578|1493|339.16
0000000003|00000004606|194|400.78
0000000008|00000000658|647|174.67
0000000010|00000000804|917|92.64
0000000010|00000004407|54|477.80
0000000009|00000002628|717|354.37
0000000002|00000004383|1650|247.12
0000000010|00000001417|1183|338.45
0000000007|00000003364|1540|92.73
0000000002|00000003879|1665|106.15
0000000006|00000003662|2798|167.72
0000000003|00000003079|710|211.30
0000000005|00000003539|2547|285.67
0000000002|00000003882|1967|354.47
0000000004|00000000134|480|383.01
0000000005|00000002653|213|134.36
0000000004|00000001566|905|486.22
0000000002|00000001716|1739|340.09
0000000006|00000003688|2501|394.14
0000000010|00000003581|2819|356.11
0000000010|00000000946|46|380.29
0000000001|00000000041|976|47.69
0000000006|00000001771|754|6.10
0000000005|00000004762|1873|355.61
0000000005|00000000879|1846|374.39
0000000005|00000000173|1080|442.16
0000000005|00000002026|923|226.15
0000000002|00000002760|1547|131.72
0000000005|00000000077|2391|181.44
0000000004|00000002659|1441|206.55
0000000008|00000002215|62|459.62
0000000006|00000003366|2057|325.09
0000000002|00000003835|1040|422.44
0000000001|00000000925|489|414.84
0000000005|00000004742|2050|343.68
0000000002|00000003671|2448|487.25
0000000006|00000003500|470|241.86
0000000007|00000002750|1989|320.90
0000000004|00000001528|741|254.82
0000000003|00000001003|2199|269.04
0000000003|00000003448|2894|390.50
0000000008|00000003145|1955|306.86
0000000008|00000003178|2671|77.34
0000000004|00000002144|1980|421.21
0000000003|00000003407|2935|495.66
0000000004|00000000152|2171|166.92
0000000005|00000003433|2191|183.73
0000000009|00000003150|1797|224.34
0000000010|00000004296|1353|311.89
0000000004|00000003702|2498|73.55
0000000007|00000000517|2593|391.42
0000000004|00000000357|1911|298.49
0000000006|00000002500|2763|382.24
0000000007|00000004978|1032|125.55
0000000006|00000003915|2009|465.71
0000000008|00000002387|1543|237.28
0000000001|00000000691|2874|289.19
0000000007|00000000291|2197|481.13
0000000002|00000000503|1721|6.38
0000000005|00000001706|1507|259.71
0000000002|00000001785|1060|450.50
0000000001|00000004949|1406|437.92
0000000001|00000004231|2370|485.95
0000000007|00000004172|1419|270.08
0000000003|00000002958|2280|302.00
0000000009|00000004172|1804|498.86
0000000007|00000003845|2482|482.35
0000000009|00000000217|1631|442.38
0000000005|00000004168|183|70.95
0000000009|00000001595|1622|36.70
0000000003|00000004287|2599|214.32
0000000010|00000000689|953|500.32
0000000008|00000001606|1984|367.10
0000000001|00000000437|1620|491.29
0000000007|00000004360|2071|342.51
0000000004|00000003403|1854|208.75
0000000005|00000003338|2292|129.75
0000000010|00000004450|802|308.42
0000000006|00000001752|1842|226.18
0000000003|00000000917|1821|175.55
0000000009|00000004242|164|87.89
0000000009|00000003339|2355|457.38
0000000002|00000002515|1591|265.60
0000000002|00000000695|1707|93.00
0000000002|00000001192|2071|193.17
0000000004|00000003386|1001|326.20
0000000003|00000004363|964|453.78
0000000006|00000004683|1812|190.87
0000000007|00000003716|2780|467.93
0000000008|00000002887|2264|195.93
0000000003|00000002930|684|322.89
0000000003|00000003009|972|83.16
0000000007|00000001012|1878|48.77
0000000004|00000001997|1723|155.87
0000000010|00000003983|2422|354.15
0000000001|00000001017|1266|141.66
0000000003|00000001287|2979|371.53
0000000009|00000000543|2267|95.44
0000000002|00000000858|1536|306.88
0000000007|00000004850|1887|358.71
0000000008|00000002514|1379|175.44
0000000009|00000000912|703|188.07
0000000007|00000001254|829|358.79
0000000005|00000002172|2721|378.51
0000000007|00000000527|2330|403.33
0000000001|00000000136|1392|171.34
0000000003|00000000318|2797|122.50
0000000010|00000003383|723|289.22
0000000002|00000002390|1115|62.09
0000000007|00000004019|872|477.76
0000000010|00000001034|1583|178.89
0000000008|00000004946|2671|71.75
0000000004|00000004661|2538|77.91
0000000009|00000003171|431|48.06
0000000008|00000001082|2017|494.40
0000000002|00000002067|1780|87.46
0000000006|00000004738|184|268.57
0000000010|00000004941|1912|501.68
0000000005|00000002540|733|457.35
0000000009|00000004170|213|313.11
0000000010|00000003727|4|129.62
0000000010|00000002331|947|283.24
0000000002|00000001827|1332|314.09
0000000001|00000001605|1628|399.36
0000000005|00000003908|2750|289.32
0000000010|00000001463|1316|353.80
0000000009|00000003174|658|238.16
0000000009|00000004689|754|131.56
0000000008|00000001232|2279|305.71
0000000010|00000004986|2917|41.39
0000000004|00000000946|553|340.43
0000000003|00000002384|2806|276.80
0000000001|00000002287|1858|79.52
0000000005|00000003077|563|264.32
0000000001|00000000129|2870|365.40
0000000009|00000003148|624|331.69
0000000001|00000000948|1632|321.12
0000000003|00000001072|62|395.99
0000000006|00000000927|1884|37.22
0000000008|00000002047|2837|290.22
0000000006|00000003946|2036|371.09
0000000004|00000002020|2580|332.92
0000000009|00000001083|1622|414.63
0000000010|00000002355|701|20.83
0000000003|00000002382|246|152.29
0000000008|00000000902|2146|280.96
0000000006|00000002631|2545|219.07
0000000003|00000000812|1653|86.81
0000000004|00000002378|2839|158.56
0000000003|00000001059|615|172.18
0000000002|00000000312|1589|126.07
0000000009|00000003355|67|144.00
0000000009|00000002196|1580|178.99
0000000007|00000003945|1272|6.74
0000000005|00000001930|1110|398.52
0000000010|00000003141|2505|278.02
0000000009|00000003383|2313|289.91
0000000007|00000001899|206|53.62
0000000003|00000003903|826|68.86
0000000001|00000002568|26|461.73
0000000003|00000002752|1468|172.79
0000000010|00000002797|251|356.94
0000000007|00000000578|1631|99.22
0000000003|00000003879|2851|217.21
0000000007|00000003098|1882|95.59
0000000004|00000004597|415|60.70
0000000008|00000002127|2127|222.04
0000000003|00000003968|997|235.63
0000000006|00000003633|2417|378.54
0000000010|00000000438|1260|264.03
0000000010|00000001630|1946|472.37
0000000001|00000004994|2882|422.87
0000000005|00000004975|2259|118.67
0000000002|00000001394|2785|64.11
0000000009|00000001329|2152|328.93
0000000006|00000001585|575|440.17
0000000005|00000002230|1762|395.02
0000000004|00000002164|2161|380.71
0000000005|00000002144|1933|101.80
0000000009|00000000463|2598|66.82
0000000006|00000000457|2308|155.83
0000000010|00000000509|2270|154.75
0000000010|00000002078|880|93.87
0000000004|00000004072|824|483.00
0000000005|00000004491|1149|206.98
0000000002|00000001725|611|119.04
0000000010|00000000015|1897|35.60
0000000002|00000001108|2299|308.84
0000000006|00000004209|2521|163.10
0000000004|00000003648|521|448.50
0000000007|00000000170|2133|84.49
0000000007|00000000906|549|485.46
0000000001|00000004277|154|454.29
0000000005|00000001006|1579|161.43
0000000001|00000002713|2084|173.62
0000000001|00000000628|2698|91.26
0000000006|00000004319|640|336.28
0000000005|00000002928|67|73.49
0000000009|00000000522|1004|500.17
0000000001|00000002676|1080|231.44
0000000001|00000002535|309|341.07
0000000005|00000002295|1579|149.47
0000000007|00000004557|2252|81.05
0000000007|00000000544|2865|58.02
0000000001|00000002108|992|40.81
0000000007|00000002122|562|475.48
0000000003|00000003447|1610|485.13
0000000002|00000000486|1728|429.08
0000000010|00000001760|1969|350.79
0000000008|00000004678|2493|451.45
0000000005|00000002330|2265|300.88
0000000006|00000003968|307|191.55
0000000001|00000002334|2934|236.27
0000000009|00000004830|1476|7.16
0000000004|00000000258|1264|91.34
0000000007|00000000473|2153|53.37
0000000008|00000002036|2533|452.43
0000000004|00000003996|669|480.19
0000000001|00000001122|470|52.17
0000000001|00000000721|2651|67.05
0000000007|00000004617|1609|292.82
0000000008|00000000274|1816|47.45
0000000008|00000002394|780|284.35
0000000009|00000003818|2141|326.05
0000000006|00000000480|2973|46.99
0000000001|00000000112|155|122.57
0000000008|00000001529|2801|61.58
0000000009|00000002931|212|460.21
0000000009|00000004256|2043|444.74
0000000007|00000001650|1328|415.67
0000000009|00000003607|149|346.12
0000000008|00000001710|2453|482.76
0000000007|00000001434|2832|233.90
0000000007|00000004542|1929|70.32
0000000009|00000003965|1088|120.98
0000000007|00000000204|1790|57.44
0000000008|00000003219|1250|237.83
0000000009|00000000958|2348|467.02
0000000004|00000004573|435|413.65
0000000005|00000001926|388|336.99
0000000009|00000000510|2032|91.61
0000000004|00000000257|1245|311.48
0000000002|00000003893|1293|499.85
0000000005|00000000497|774|218.91
0000000007|00000003634|1332|164.15
0000000010|00000000257|1668|427.92
0000000005|00000000743|1526|59.18
0000000009|00000002474|2797|205.43
0000000003|00000000173|2290|332.96
0000000007|00000004536|2646|404.45
0000000005|00000004525|2402|261.77
0000000008|00000002701|2213|95.88
0000000010|00000004291|1320|260.23
0000000005|00000001829|2656|174.42
0000000003|00000003338|1673|299.42
0000000007|00000002631|62|315.29
0000000008|00000001923|682|377.43
0000000005|00000003419|1915|330.87
0000000002|00000004200|1581|279.41
0000000003|00000004725|44|233.73
0000000006|00000003753|939|80.60
0000000009|00000002275|1766|414.19
0000000005|00000000749|673|39.43
0000000002|00000003798|2315|293.46
0000000004|00000001986|1356|444.01
0000000001|00000002615|858|167.21
0000000002|00000001984|2007|394.90
0000000004|00000004095|2733|37.64
0000000007|00000000808|859|54.67
0000000006|00000004996|1604|461.51
0000000003|00000000019|2308|175.36
0000000004|00000004399|370|291.15
0000000009|00000004776|2919|489.58
0000000001|00000003396|922|403.17
0000000009|00000001614|2873|232.90
0000000003|00000001706|1590|98.29
0000000010|00000002225|1919|125.42
0000000009|00000001286|2942|177.92
0000000002|00000003502|2075|156.19
0000000006|00000003189|402|349.82
0000000004|00000000787|1908|6.16
0000000004|00000003903|1622|169.22
0000000009|00000003682|388|161.59
0000000009|00000003748|1318|185.82
0000000008|00000000270|1023|481.65
0000000002|00000002527|2318|383.03
0000000004|00000000105|2268|452.48
0000000004|00000003037|2211|399.39
0000000003|00000002317|71|56.12
0000000003|00000000766|305|145.58
0000000010|00000001173|154|91.67
0000000002|00000000269|1187|165.74
0000000007|00000002502|2795|499.82
0000000008|00000001532|1404|260.24
0000000001|00000001131|2607|275.59
0000000001|00000002502|2082|345.04
0000000001|00000001221|1429|464.55
0000000001|00000004057|2418|193.87
0000000010|00000004425|1450|454.50
0000000009|00000002206|723|263.49
0000000003|00000000474|2065|199.07
0000000009|00000004546|2630|477.69
0000000008|00000004520|467|425.53
0000000006|00000000037|163|149.15
0000000003|00000001257|2233|439.05
0000000002|00000000772|32|169.76
0000000007|00000000244|2164|317.63
0000000002|00000003397|361|127.58
0000000008|00000000427|936|461.11
0000000010|00000000647|719|350.21
0000000009|00000004545|1895|171.25
0000000002|00000002470|2686|95.34
0000000008|00000001564|2387|413.72
0000000004|00000000098|2897|120.32
0000000007|00000001746|2412|212.04
0000000005|00000000569|2009|289.01
0000000002|00000002833|627|463.02
0000000006|00000000248|881|216.33
0000000006|00000000988|2705|429.46
0000000003|00000003894|283|112.38
0000000010|00000004954|2062|457.22
0000000004|00000004034|852|175.27
0000000009|00000002322|2118|455.91
0000000001|00000001958|1174|142.00
0000000001|00000002750|855|418.96
0000000005|00000002424|240|117.83
0000000003|00000003068|30|206.61
0000000001|00000002726|2104|308.83
0000000004|00000001343|2782|248.08
0000000001|00000002719|400|259.24
0000000001|00000002286|2026|63.28
0000000003|00000000939|293|197.96
0000000006|00000000477|1948|348.26
0000000007|00000000781|2580|413.85
0000000008|00000001493|2072|9.27
0000000007|00000004890|112|415.71
0000000004|00000001430|224|47.26
0000000006|00000001928|778|497.96
0000000001|00000000553|2701|183.31
0000000002|00000003414|493|291.26
0000000004|00000003782|848|29.08
0000000010|00000000950|1331|309.91
0000000005|00000003594|1226|496.31
0000000008|00000001578|1155|185.27
0000000006|00000004436|1769|425.74
0000000005|00000003251|2287|123.28
0000000003|00000000040|2202|53.14
0000000008|00000000628|800|139.34
0000000002|00000002097|612|213.00
0000000008|00000000258|1119|247.52
0000000006|00000000343|808|293.59
0000000007|00000002409|718|128.48
0000000006|00000000115|2650|319.30
0000000009|00000002249|2350|349.79
0000000006|00000003775|284|339.82
0000000010|00000003552|1520|73.98
0000000001|00000001506|1130|220.10
0000000004|00000004804|2118|12.97
0000000008|00000004361|1847|124.78
0000000005|00000001850|1742|102.94
0000000009|00000001155|2431|11.05
0000000010|00000004467|1808|165.07
0000000003|00000004438|61|266.48
0000000003|00000002536|236|430.46
0000000005|00000002971|2544|246.72
0000000008|00000004647|188|59.73
0000000003|00000003831|1913|286.68
0000000010|00000003334|614|156.31
0000000004|00000002644|160|491.53
0000000003|00000002314|2545|251.09
0000000008|00000002968|2640|248.20
0000000005|00000003121|391|153.92
0000000006|00000000540|25|434.00
0000000010|00000000138|601|281.43
0000000007|00000002588|1342|302.27
0000000001|00000004217|2462|487.46
0000000009|00000003880|2109|20.16
0000000004|00000001084|2946|442.00
0000000010|00000002069|104|402.37
0000000006|00000001880|2704|112.21
0000000010|00000004063|1190|58.03
0000000006|00000003567|1333|394.38
0000000002|00000002207|1426|319.59
0000000003|00000004553|2631|383.71
0000000005|00000000041|1985|18.89
0000000003|00000003967|1778|93.53
0000000006|00000000841|2147|79.12
0000000006|00000002660|66|154.37
0000000010|00000001488|1538|30.32
0000000004|00000001005|810|145.78
0000000007|00000000874|951|177.56
0000000003|00000003316|154|342.17
0000000007|00000003630|2485|57.47
0000000001|00000002038|2520|51.03
0000000002|00000003379|1315|124.95
0000000009|00000003293|270|407.05
0000000010|00000003620|2290|369.32
0000000001|00000002826|823|227.28
0000000001|00000002622|1926|8.32
0000000006|00000001942|2197|187.23
0000000006|00000000972|2848|177.23
0000000003|00000000099|574|275.65
0000000005|00000000691|921|100.39
0000000008|00000001333|455|216.40
0000000006|00000003002|1678|258.30
0000000007|00000001918|1475|26.31
0000000002|00000004259|2040|209.68
0000000008|00000002585|2248|53.04
0000000003|00000003521|1229|315.31
0000000001|00000004846|1263|249.60
0000000008|00000004287|1511|454.24
0000000004|00000004282|1278|279.05
0000000006|00000001412|1761|488.69
0000000006|00000002511|2321|27.98
0000000006|00000003249|1296|295.29
0000000009|00000001213|1380|335.05
0000000009|00000001826|1479|233.71
0000000006|00000000757|2346|260.67
0000000004|00000002181|2505|237.93
0000000006|00000001665|908|453.72
0000000005|00000001134|490|328.91
0000000006|00000001145|2951|71.60
0000000002|00000002653|1940|458.11
0000000009|00000002359|733|163.74
0000000001|00000000152|2396|479.79
0000000008|00000004958|1780|365.93
0000000005|00000000082|2050|160.86
0000000004|00000004464|986|139.37
0000000003|00000001358|1251|243.25
0000000007|00000002964|622|395.78
0000000010|00000004366|679|72.67
0000000009|00000003335|2305|300.21
0000000008|00000004528|826|256.99
0000000004|00000000488|1828|109.52
0000000010|00000000757|187|289.89
0000000009|00000004099|411|431.42
0000000006|00000003454|2628|335.67
0000000005|00000004248|15|486.58
0000000009|00000004357|1748|195.75
0000000008|00000004864|1300|27.79
0000000007|00000002002|1437|188.51
0000000006|00000002262|2801|392.27
0000000010|00000000739|366|41.99
0000000005|00000002771|1871|138.09
0000000002|00000003103|20|145.08
0000000002|00000001068|2954|170.67
0000000010|00000004320|2797|115.65
0000000009|00000003708|31|143.04
0000000008|00000004164|298|351.45
0000000009|00000004566|1424|93.01
0000000001|00000001809|301|296.75
0000000008|00000000580|1018|182.56
0000000008|00000000666|1623|476.21
0000000004|00000001007|2519|446.60
0000000003|00000000859|1475|439.24
0000000010|00000002636|1049|292.99
0000000005|00000002197|2548|229.34
0000000009|00000002796|78|278.33
0000000005|00000001978|1973|328.66
0000000001|00000004170|2817|266.71
0000000001|00000000299|1488|338.66
0000000010|00000002884|399|226.89
0000000002|00000004228|700|51.27
0000000004|00000002202|849|264.38
0000000005|00000001463|74|379.93
0000000007|00000002591|63|317.68
0000000010|00000001903|171|467.57
0000000003|00000004148|1212|112.46
0000000006|00000003100|2415|95.95
0000000001|00000003894|2973|281.32
0000000001|00000001630|2901|431.79
0000000006|00000003114|975|401.40
0000000009|00000004229|2422|70.66
0000000009|00000003214|511|249.97
0000000005|00000000183|1937|224.59
0000000004|00000002695|1024|369.47
0000000009|00000003813|842|219.13
0000000003|00000001744|306|150.89
0000000010|00000000097|187|33.94
0000000003|00000000900|624|427.41
0000000006|00000004856|2167|66.97
0000000008|00000001680|1748|129.70
0000000001|00000000389|992|367.79
0000000007|00000000845|71|425.22
0000000006|00000001175|2687|165.60
0000000001|00000004901|499|422.45
0000000009|00000000044|2328|27.30
0000000004|00000001984|1630|357.70
0000000006|00000003146|859|313.05
0000000001|00000000414|564|383.23
0000000010|00000002859|338|229.09
0000000001|00000002994|502|36.55
0000000003|00000002397|945|133.41
0000000005|00000003681|1096|449.15
0000000003|00000002684|2710|88.30
0000000002|00000001757|2750|24.61
0000000005|00000004708|2862|27.21
0000000004|00000000885|2259|55.53
0000000007|00000002778|2090|369.19
0000000003|00000000380|673|114.04
0000000010|00000001689|2951|235.37
0000000009|00000002368|2330|93.96
0000000007|00000002928|1105|196.56
0000000002|00000001493|1520|358.10
0000000003|00000001272|2346|100.53
0000000005|00000004145|1937|502.04
0000000002|00000004768|2681|327.60
0000000010|00000003350|1511|311.26
0000000008|00000002373|296|108.37
0000000007|00000004810|1435|133.63
0000000009|00000002437|556|473.92
0000000003|00000004132|874|75.15
0000000002|00000000343|2180|297.97
0000000008|00000003001|1979|86.66
0000000001|00000000273|1107|490.47
0000000006|00000002825|2611|210.01
0000000002|00000002314|702|294.40
0000000006|00000003996|2575|50.03
0000000006|00000004777|1100|141.42
